ANO;NIVEL;NIVEL_DSG;RESIDENT;cod
2011;8;Subsecção;0;13120305204
2011;8;Subsecção;58;13120305205
2011;8;Subsecção;34;13120305206
2011;8;Subsecção;141;13120305207
2011;8;Subsecção;117;13120305208
2011;8;Subsecção;21;13120305209
2011;8;Subsecção;0;13120305210
2011;8;Subsecção;0;13120305211
2011;8;Subsecção;3;13120305212
2011;8;Subsecção;0;13120305213
2011;8;Subsecção;91;13120305301
2011;8;Subsecção;165;13120305302
2011;8;Subsecção;10;13120305303
2011;8;Subsecção;0;13120305304
2011;8;Subsecção;86;13120305305
2011;8;Subsecção;82;13120305306
2011;8;Subsecção;48;13120305401
2011;8;Subsecção;62;13120305402
2011;8;Subsecção;37;13120305403
2011;8;Subsecção;81;13120305404
2011;8;Subsecção;44;13120305405
2011;8;Subsecção;189;13120305406
2011;8;Subsecção;240;13120400101
2011;8;Subsecção;288;13120400102
2011;8;Subsecção;295;13120400201
2011;8;Subsecção;287;13120400202
2011;8;Subsecção;281;13120400301
2011;8;Subsecção;35;13120400302
2011;8;Subsecção;101;13120400303
2011;8;Subsecção;56;13120400304
2011;8;Subsecção;86;13120400401
2011;8;Subsecção;74;13120400402
2011;8;Subsecção;337;13120400403
2011;8;Subsecção;354;13120400501
2011;8;Subsecção;125;13120400601
2011;8;Subsecção;219;13120400602
2011;8;Subsecção;17;13120400603
2011;8;Subsecção;12;13120400604
2011;8;Subsecção;13;13120400605
2011;8;Subsecção;54;13120400606
2011;8;Subsecção;0;13120400607
2011;8;Subsecção;344;13120400701
2011;8;Subsecção;128;13120400702
2011;8;Subsecção;99;13120400801
2011;8;Subsecção;515;13120400802
2011;8;Subsecção;63;13120400803
2011;8;Subsecção;34;13120400804
2011;8;Subsecção;163;13120400901
2011;8;Subsecção;255;13120400902
2011;8;Subsecção;44;13120400903
2011;8;Subsecção;152;13120401001
2011;8;Subsecção;438;13120401002
2011;8;Subsecção;202;13120401101
2011;8;Subsecção;312;13120401102
2011;8;Subsecção;219;13120401201
2011;8;Subsecção;8;13120401202
2011;8;Subsecção;189;13120401203
2011;8;Subsecção;98;13120401204
2011;8;Subsecção;669;13120401301
2011;8;Subsecção;136;13120401401
2011;8;Subsecção;166;13120401402
2011;8;Subsecção;32;13120401403
2011;8;Subsecção;107;13120401404
2011;8;Subsecção;115;13120401501
2011;8;Subsecção;233;13120401502
2011;8;Subsecção;115;13120401503
2011;8;Subsecção;278;13120401601
2011;8;Subsecção;209;13120401602
2011;8;Subsecção;92;13120401603
2011;8;Subsecção;486;13120401701
2011;8;Subsecção;255;13120401801
2011;8;Subsecção;222;13120401802
2011;8;Subsecção;19;13120401901
2011;8;Subsecção;291;13120401902
2011;8;Subsecção;107;13120402001
2011;8;Subsecção;69;13120402002
2011;8;Subsecção;145;13120402003
2011;8;Subsecção;150;13120402004
2011;8;Subsecção;144;13120402101
2011;8;Subsecção;225;13120402102
2011;8;Subsecção;398;13120402201
2011;8;Subsecção;284;13120402301
2011;8;Subsecção;275;13120402302
2011;8;Subsecção;793;13120402401
2011;8;Subsecção;399;13120402501
2011;8;Subsecção;254;13120402601
2011;8;Subsecção;346;13120402602
2011;8;Subsecção;464;13120402701
2011;8;Subsecção;156;13120402702
2011;8;Subsecção;52;13120402703
2011;8;Subsecção;108;13120402801
2011;8;Subsecção;192;13120402802
2011;8;Subsecção;185;13120402803
2011;8;Subsecção;0;13120402804
2011;8;Subsecção;0;13120402901
2011;8;Subsecção;96;13120402902
2011;8;Subsecção;27;13120402903
2011;8;Subsecção;18;13120402904
2011;8;Subsecção;231;13120402905
2011;8;Subsecção;337;13120403001
2011;8;Subsecção;5;13120403002
2011;8;Subsecção;0;13120403003
2011;8;Subsecção;138;13120403101
2011;8;Subsecção;210;13120403102
2011;8;Subsecção;497;13120403201
2011;8;Subsecção;143;13120403301
2011;8;Subsecção;43;13120403302
2011;8;Subsecção;0;13120403303
2011;8;Subsecção;240;13120403304
2011;8;Subsecção;75;13120403401
2011;8;Subsecção;162;13120403402
2011;8;Subsecção;56;13120403403
2011;8;Subsecção;457;13120403501
2011;8;Subsecção;255;13120403601
2011;8;Subsecção;30;13120403602
2011;8;Subsecção;16;13120403603
2011;8;Subsecção;0;13120403604
2011;8;Subsecção;72;13120403605
2011;8;Subsecção;69;13120403701
2011;8;Subsecção;103;13120403702
2011;8;Subsecção;150;13120403703
2011;8;Subsecção;128;13120403704
2011;8;Subsecção;123;13120403801
2011;8;Subsecção;42;13120403802
2011;8;Subsecção;113;13120403803
2011;8;Subsecção;53;13120403804
2011;8;Subsecção;52;13120403805
2011;8;Subsecção;338;13120403901
2011;8;Subsecção;398;13120403902
2011;8;Subsecção;261;13120404001
2011;8;Subsecção;7;13120404101
2011;8;Subsecção;354;13120404102
2011;8;Subsecção;453;13120404201
2011;8;Subsecção;0;13120404301
2011;8;Subsecção;365;13120404302
2011;8;Subsecção;313;13120404401
2011;8;Subsecção;53;13120404402
2011;8;Subsecção;0;13120404403
2011;8;Subsecção;318;13120404501
2011;8;Subsecção;124;13120404502
2011;8;Subsecção;276;13120404601
2011;8;Subsecção;214;13120404602
2011;8;Subsecção;115;13120404701
2011;8;Subsecção;14;13120404702
2011;8;Subsecção;134;13120404703
2011;8;Subsecção;91;13120404704
2011;8;Subsecção;102;13120500101
2011;8;Subsecção;60;13120500102
2011;8;Subsecção;428;13120500103
2011;8;Subsecção;29;13120500104
2011;8;Subsecção;36;13120500105
2011;8;Subsecção;8;13120500106
2011;8;Subsecção;181;13120500201
2011;8;Subsecção;120;13120500202
2011;8;Subsecção;274;13120500203
2011;8;Subsecção;22;13120500204
2011;8;Subsecção;48;13120500205
2011;8;Subsecção;28;13120500206
2011;8;Subsecção;32;13120500207
2011;8;Subsecção;37;13120500208
2011;8;Subsecção;100;13120500209
2011;8;Subsecção;39;13120500210
2011;8;Subsecção;0;13120500211
2011;8;Subsecção;23;13120500301
2011;8;Subsecção;315;13120500302
2011;8;Subsecção;371;13120500303
2011;8;Subsecção;20;13120500401
2011;8;Subsecção;49;13120500402
2011;8;Subsecção;42;13120500403
2011;8;Subsecção;98;13120500404
2011;8;Subsecção;101;13120500405
2011;8;Subsecção;47;13120500406
2011;8;Subsecção;108;13120500407
2011;8;Subsecção;0;13120500408
2011;8;Subsecção;84;13120500409
2011;8;Subsecção;70;13120500410
2011;8;Subsecção;47;13120500501
2011;8;Subsecção;397;13120500502
2011;8;Subsecção;135;13120500503
2011;8;Subsecção;191;13120500504
2011;8;Subsecção;10;13120500505
2011;8;Subsecção;200;13120500601
2011;8;Subsecção;24;13120500602
2011;8;Subsecção;98;13120500603
2011;8;Subsecção;18;13120500604
2011;8;Subsecção;31;13120500605
2011;8;Subsecção;0;13120500701
2011;8;Subsecção;207;13120500702
2011;8;Subsecção;64;13120500703
2011;8;Subsecção;83;13120500704
2011;8;Subsecção;75;13120500705
2011;8;Subsecção;66;13120500801
2011;8;Subsecção;179;13120500802
2011;8;Subsecção;129;13120500803
2011;8;Subsecção;106;13120500804
2011;8;Subsecção;102;13120500805
2011;8;Subsecção;39;13120500806
2011;8;Subsecção;19;13120500807
2011;8;Subsecção;350;13120500901
2011;8;Subsecção;0;13120500902
2011;8;Subsecção;214;13120500903
2011;8;Subsecção;216;13120501001
2011;8;Subsecção;258;13120501002
2011;8;Subsecção;48;13120501003
2011;8;Subsecção;176;13120501004
2011;8;Subsecção;351;13120501005
2011;8;Subsecção;197;13120501101
2011;8;Subsecção;29;13120501102
2011;8;Subsecção;93;13120501103
2011;8;Subsecção;47;13120501104
2011;8;Subsecção;25;13120501105
2011;8;Subsecção;71;13120501106
2011;8;Subsecção;45;13120501107
2011;8;Subsecção;93;13120501108
2011;8;Subsecção;23;13120501201
2011;8;Subsecção;64;13120501202
2011;8;Subsecção;0;13120501203
2011;8;Subsecção;18;13120501204
2011;8;Subsecção;93;13120501205
2011;8;Subsecção;6;13120501206
2011;8;Subsecção;71;13120501207
2011;8;Subsecção;19;13120501208
2011;8;Subsecção;25;13120501209
2011;8;Subsecção;5;13120501210
2011;8;Subsecção;15;13120501211
2011;8;Subsecção;21;13120501212
2011;8;Subsecção;106;13120501213
